Date,Open,High,Low,Close,Volume,Return,RVOL,MA5,MA20,TrendDiff,Trend,Support,Resistance,PricePosition,Breakout,Breakdown,Confidence,Label
2021-04-15,6305.0,6310.0,6180.0,6280.0,102686500,-0.003965107057890549,0.8933494569165387,6170.0,6331.25,-0.025468904244817375,Downtrend,5980.0,6770.0,0.379746835443038,0,0,Low,Markdown
2021-04-16,6370.0,6370.0,6215.0,6275.0,79293500,-0.0007961783439490722,0.687078231092102,6185.0,6309.75,-0.019770989341891518,Downtrend,5980.0,6770.0,0.37341772151898733,0,0,Low,Markdown
2021-04-19,6275.0,6280.0,6230.0,6270.0,47095000,-0.0007968127490040056,0.42249452537882765,6226.0,6285.25,-0.0094268326637763,Sideways,5980.0,6720.0,0.3918918918918919,0,0,Low,Markdown
2021-04-20,6200.0,6250.0,6185.0,6235.0,72721000,-0.005582137161084577,0.6508708253536298,6273.0,6266.0,0.0011171401212894988,Sideways,5980.0,6720.0,0.34459459459459457,0,0,Low,Markdown
2021-04-21,6200.0,6225.0,6165.0,6165.0,68397000,-0.01122694466720131,0.628877211855407,6245.0,6246.0,-0.0001601024655779699,Sideways,5980.0,6550.0,0.32456140350877194,0,0,Low,Markdown
2021-04-22,6200.0,6275.0,6180.0,6215.0,63758000,0.008110300081102917,0.6110254451780089,6232.0,6234.75,-0.00044107622599141904,Sideways,5980.0,6515.0,0.4392523364485981,0,0,Low,Markdown
2021-04-23,6280.0,6395.0,6225.0,6390.0,108498500,0.028157683024939706,1.0451063542863197,6255.0,6235.75,0.003087038447660666,Sideways,5980.0,6515.0,0.7663551401869159,0,0,Low,Markdown
2021-04-26,6395.0,6400.0,6280.0,6285.0,108742000,-0.016431924882629123,1.060592575939748,6258.0,6229.25,0.004615322871934824,Sideways,5980.0,6515.0,0.5700934579439252,0,0,Low,Markdown
2021-04-27,6370.0,6435.0,6355.0,6405.0,132650000,0.019093078758949833,1.2817236259879248,6292.0,6231.5,0.009708737864077669,Sideways,5980.0,6455.0,0.8947368421052632,0,0,Medium,Distribusi
2021-04-28,6400.0,6405.0,6315.0,6320.0,87660000,-0.013270882123341154,0.8451545460921847,6323.0,6227.75,0.01529444823571916,Uptrend,5980.0,6435.0,0.7472527472527473,0,0,Low,Distribusi
2021-04-29,6460.0,6460.0,6360.0,6410.0,57355000,0.014240506329114,0.6010863675854574,6362.0,6237.5,0.01995991983967936,Uptrend,5980.0,6460.0,0.8958333333333334,0,0,Low,Distribusi
2021-04-30,6450.0,6450.0,6380.0,6405.0,65829500,-0.0007800312012480326,0.7071135920606749,6365.0,6246.5,0.018970623549187545,Uptrend,5980.0,6460.0,0.8854166666666666,0,0,Low,Distribusi
2021-05-03,6480.0,6480.0,6345.0,6390.0,42065500,-0.0023419203747072626,0.45956260407701965,6386.0,6258.25,0.020413054767706627,Uptrend,5980.0,6480.0,0.82,0,0,Low,Distribusi
2021-05-04,6350.0,6430.0,6340.0,6400.0,50123500,0.0015649452269170805,0.5567471442598624,6385.0,6270.0,0.018341307814992026,Uptrend,5980.0,6480.0,0.84,0,0,Low,Distribusi
2021-05-05,6420.0,6430.0,6400.0,6425.0,51685000,0.00390625,0.5925952254149227,6406.0,6278.75,0.0202667728449134,Uptrend,5980.0,6480.0,0.89,0,0,Low,Distribusi
2021-05-06,6400.0,6450.0,6400.0,6425.0,38115500,0.0,0.4595609180005293,6409.0,6293.25,0.01839272236126008,Uptrend,5980.0,6480.0,0.89,0,0,Low,Distribusi
2021-05-07,6460.0,6460.0,6385.0,6400.0,48864000,-0.0038910505836575737,0.6143779837830565,6408.0,6303.25,0.016618411137111808,Uptrend,5980.0,6480.0,0.84,0,0,Low,Distribusi
2021-05-10,6400.0,6420.0,6395.0,6420.0,68180500,0.0031250000000000444,0.8806284473967856,6414.0,6321.0,0.014712861888941622,Uptrend,5980.0,6480.0,0.88,0,0,Low,Distribusi
2021-05-11,6400.0,6480.0,6305.0,6480.0,70680000,0.009345794392523255,0.9424505781810291,6430.0,6345.0,0.013396375098502758,Uptrend,6060.0,6480.0,1.0,0,0,Low,Distribusi
2021-05-17,6500.0,6500.0,6375.0,6500.0,129058500,0.0030864197530864335,1.7283171912711335,6445.0,6354.75,0.014201974900664858,Uptrend,6165.0,6500.0,1.0,1,0,High,Distribusi
2021-05-18,6400.0,6455.0,6365.0,6390.0,73563000,-0.01692307692307693,1.0047291091177906,6438.0,6360.25,0.01222436224991156,Uptrend,6165.0,6500.0,0.6716417910447762,0,0,Low,Distribusi
2021-05-19,6380.0,6400.0,6335.0,6345.0,64912500,-0.007042253521126751,0.8953732325301355,6427.0,6363.75,0.009939108230210174,Sideways,6165.0,6500.0,0.5373134328358209,0,0,Low,Distribusi
2021-05-20,6390.0,6435.0,6350.0,6380.0,64950000,0.005516154452324562,0.8849925296819954,6419.0,6369.25,0.007810966754327433,Sideways,6165.0,6500.0,0.6417910447761194,0,0,Low,Distribusi
2021-05-21,6450.0,6450.0,6260.0,6360.0,92620000,-0.0031347962382445305,1.245136814482412,6395.0,6375.5,0.0030585836404987844,Sideways,6165.0,6500.0,0.582089552238806,0,0,Medium,Distribusi
2021-05-24,6355.0,6380.0,6290.0,6325.0,59210000,-0.005503144654088077,0.800935529491972,6360.0,6383.5,-0.0036813660217748885,Sideways,6180.0,6500.0,0.453125,0,0,Low,Distribusi
2021-05-25,6300.0,6440.0,6300.0,6355.0,87470000,0.004743083003952542,1.1645330651104056,6353.0,6390.5,-0.005868085439323997,Sideways,6225.0,6500.0,0.4727272727272727,0,0,Low,Distribusi
2021-05-27,6440.0,6480.0,6270.0,6270.0,537971500,-0.013375295043273061,5.569910742110859,6338.0,6384.5,-0.007283264155376302,Sideways,6260.0,6500.0,0.041666666666666664,0,0,High,Akumulasi
2021-05-28,6330.0,6370.0,6330.0,6340.0,102108500,0.011164274322169154,1.0608275792210424,6330.0,6387.25,-0.008963168812869389,Sideways,6260.0,6500.0,0.3333333333333333,0,0,Low,Akumulasi
2021-05-31,6360.0,6390.0,6325.0,6375.0,101442000,0.005520504731861164,1.0712698822962254,6333.0,6385.75,-0.008260580198097327,Sideways,6260.0,6500.0,0.4791666666666667,0,0,Low,Akumulasi
2021-06-02,6500.0,6515.0,6420.0,6465.0,141732500,0.014117647058823568,1.45520620020052,6361.0,6393.0,-0.005005474737994682,Sideways,6260.0,6515.0,0.803921568627451,0,0,Medium,Distribusi
2021-06-03,6495.0,6600.0,6430.0,6600.0,133810500,0.02088167053364276,1.321981779719101,6410.0,6402.5,0.0011714174150722373,Sideways,6260.0,6600.0,1.0,1,0,Medium,Distribusi
2021-06-04,6620.0,6620.0,6500.0,6580.0,62108500,-0.00303030303030305,0.6147312910584427,6472.0,6411.25,0.00947553129264964,Sideways,6260.0,6620.0,0.8888888888888888,0,0,Low,Distribusi
2021-06-07,6560.0,6570.0,6430.0,6530.0,62576000,-0.0075987841945288626,0.6131349384817228,6510.0,6418.25,0.014295173918124099,Uptrend,6260.0,6620.0,0.75,0,0,Low,Distribusi
2021-06-08,6575.0,6575.0,6430.0,6430.0,64348000,-0.015313935681470103,0.6261340518286772,6521.0,6419.75,0.015771642197904903,Uptrend,6260.0,6620.0,0.4722222222222222,0,0,Low,Distribusi
2021-06-09,6360.0,6535.0,6360.0,6530.0,77198000,0.015552099533437058,0.7419604650732525,6534.0,6425.0,0.016964980544747082,Uptrend,6260.0,6620.0,0.75,0,0,Low,Distribusi
2021-06-10,6555.0,6620.0,6490.0,6620.0,73262500,0.013782542113323082,0.692440431338051,6538.0,6434.75,0.016045689420723416,Uptrend,6260.0,6620.0,1.0,0,0,Low,Distribusi
2021-06-11,6570.0,6580.0,6460.0,6470.0,72780500,-0.0226586102719033,0.680196992219097,6516.0,6438.25,0.012076262959655186,Uptrend,6260.0,6620.0,0.5833333333333334,0,0,Low,Distribusi
2021-06-14,6520.0,6520.0,6400.0,6410.0,61478500,-0.009273570324574987,0.5763750767011003,6492.0,6437.75,0.00842685720942876,Sideways,6260.0,6620.0,0.4166666666666667,0,0,Low,Distribusi
2021-06-15,6445.0,6470.0,6405.0,6470.0,87799000,0.009360374414976613,0.8165829613095238,6500.0,6437.25,0.009747951376752495,Sideways,6260.0,6620.0,0.5833333333333334,0,0,Low,Distribusi
2021-06-16,6420.0,6435.0,6360.0,6385.0,48984000,-0.013137557959814528,0.4732009531834487,6471.0,6431.5,0.006141646583223199,Sideways,6260.0,6620.0,0.3472222222222222,0,0,Low,Distribusi
2021-06-17,6390.0,6390.0,6275.0,6330.0,68448500,-0.008613938919342257,0.6628717356241082,6413.0,6428.5,-0.0024111379015322393,Sideways,6260.0,6620.0,0.19444444444444445,0,0,Low,Distribusi
2021-06-18,6300.0,6345.0,6280.0,6325.0,118043000,-0.0007898894154818592,1.1144850818435081,6384.0,6427.5,-0.00676779463243874,Sideways,6260.0,6620.0,0.18055555555555555,0,0,Low,Distribusi
2021-06-21,6300.0,6300.0,6210.0,6250.0,60823500,-0.011857707509881465,0.5753766764496515,6352.0,6421.0,-0.010745989721227223,Downtrend,6210.0,6620.0,0.0975609756097561,0,1,Low,Distribusi
2021-06-22,6250.0,6390.0,6240.0,6340.0,65824000,0.014399999999999968,0.6306735734416521,6326.0,6420.0,-0.014641744548286604,Downtrend,6210.0,6620.0,0.3170731707317073,0,0,Low,Distribusi
2021-06-23,6295.0,6340.0,6230.0,6230.0,52451000,-0.017350157728706628,0.504176559360972,6295.0,6415.25,-0.018744398113869295,Downtrend,6210.0,6620.0,0.04878048780487805,0,0,Low,Distribusi
2021-06-24,6310.0,6310.0,6200.0,6210.0,56010000,-0.0032102728731941976,0.5466523521374195,6271.0,6408.0,-0.02137952559300874,Downtrend,6200.0,6620.0,0.023809523809523808,0,0,Low,Distribusi
2021-06-25,6230.0,6260.0,6190.0,6190.0,68939500,-0.0032206119162641045,0.8725591202960697,6244.0,6404.0,-0.024984384759525295,Downtrend,6190.0,6620.0,0.0,0,1,Low,Distribusi
2021-06-28,6100.0,6150.0,6055.0,6055.0,84420500,-0.021809369951534707,1.080596231631765,6205.0,6389.75,-0.028913494268163857,Downtrend,6055.0,6620.0,0.0,0,1,Low,Distribusi
2021-06-29,6050.0,6090.0,6040.0,6045.0,53704000,-0.0016515276630884035,0.7090844513455097,6146.0,6373.25,-0.03565684697760169,Downtrend,6040.0,6620.0,0.008620689655172414,0,1,Low,Distribusi
2021-06-30,6000.0,6070.0,6000.0,6025.0,65795000,-0.003308519437551727,0.9145787353320065,6105.0,6351.25,-0.038771895296201536,Downtrend,6000.0,6620.0,0.04032258064516129,0,1,Low,Distribusi
2021-07-01,6060.0,6075.0,6000.0,6025.0,58153000,0.0,0.8532168577563535,6068.0,6322.5,-0.04025306445235271,Downtrend,6000.0,6620.0,0.04032258064516129,0,0,Low,Distribusi
2021-07-02,6070.0,6140.0,6040.0,6100.0,67392500,0.012448132780082943,0.9849601477896949,6050.0,6298.5,-0.03945383821544812,Downtrend,6000.0,6620.0,0.16129032258064516,0,0,Low,Distribusi
